heading,description
Rajasthan court dismisses Monu Manesar’s bail plea,"Monu was picked up by the Haryana Police on September 12 and handed over to the Rajasthan Police. Currently, he is in judicial custody."
‘Disgraceful’: India on envoy being stopped at gurudwara in Scotland by pro-Khalistan activists,"After being stopped by pro-Khalistan activists, the Indian envoy did not enter the gurudwara, turned around and headed to his next engagement."
Minimal chance of Nipah virus spreading to Sri Lanka from India: Health Ministry,"The latest outbreak in Kerala's Kozhikode district emerged in late August 2023 and up to now, only 6 people have been infected of which 2 have died."
"Kozhikode train arson: NIA submits chargesheet against lone accused, says ‘jihadi act committed after online radicalisation’",The case pertains to an incident on April 2 this year when the accused allegedly threw fuel on passengers of a coach on the Alappuzha- Kannur Executive Express and started a fire. Three passengers died subsequently
"Infiltration bid foiled in J-K’s Kupwara, two militants killed: Police","So far, two AK rifles, four AK magazines, 90 rounds, a Pakistani pistol, a pouch and Rs 2,100 in Pakistani currency have been recovered from the encounter site"
"Chhattisgarh: Baghel govt disburses Rs 1,895 cr into bank accounts of over 24 lakh farmers under ‘Kisan Nyay’ scheme","During the 'Krishak-sah-Shramik Sammelan', a sum of Rs 5.16 crore was also given to cow dung sellers under the 'Godhan Nyay Yojana'. Further, an incentive of Rs 57.18 crore was disbursed to 33,642 sugarcane growers in the poll-bound state."
"In poll-bound MP, Rahul Gandhi makes strong OBC pitch, promises caste census","Speaking at a ‘Jan Akrosh’ yatra in Shajapur district, Congress leader Rahul Gandhi attacked the ruling BJP in Madhya Pradesh and said that the state was the epicentre of corruption."
‘Similar to BJP under RSS’: Chhattisgarh tribal body forms new party,"Samaj President Arvind Netam said their newly formed party was under pressure from certain quarters to tie up with the Bahujan Samaj Party (BSP), Janta Congress Chhattisgarh-Jogi (JCC-J), and the Aam Aadmi Party (AAP) for the impending Assembly polls."
"He wanted to become a police officer, was our only hope: Kin of Dalit boy killed in UP for stealing sugarcane",15-year-old Mukesh’s body was found in Ismail’s field in Hardoi on Tuesday evening.
"Ayodhya idol: Behind tin-sheet curtains, three sculptors in a secretive race for best Ram Lalla sculpturePremium Story",Three idols depicting an infant Ram Lalla standing on a lotus are currently being carved under a shroud of secrecy for the Ayodhya temple. Sources said the “best of three” would be installed in the temple
"Glasgow gurdwara incident: Envoy stopped from entering gurdwara, India flags it to UK","Jaishankar on Canada: ‘Let’s not normalise what is happening... freedom of speech can’t extend to incitement, violence’"
"Ahead of its 91st Anniversary, Indian Air Force holds aerial show in Bhopal",October 8 is celebrated as the Air Force Day annually.
"‘There is no future for our children’: In Jharkhand’s Manika, parents urge CM Hemant Soren to end teacher shortage","Parents of hundreds of students from Manika block have written to CM Hemant Soren, pointing out how single-teacher schools were resulting in deteriorating education standards."
"Jaishankar meets US Defence Secretary Austin and Commerce Secretary Raimondo; discusses bilateral, regional and global issues","The Pentagon said the two officials exchanged perspectives on a variety of security issues, including recent developments in East Asia and the Indian Ocean region."
"POCSO report to law minister: Law panel says keep consent age 18, but take less severe look when kids in 16-18","Flags sexual curiosity, suggests changes when ‘tacit approval’ among children"
"China remains belligerent, its pursuits are predatory: Army chief",The Army chief’s comments come at a time when there has not been any perceptible change in deployment of troops by either side or any de-escalation in the eastern Ladakh region.
"Navodaya students from UP, J&K on exchange programme sent back after ‘assault’, protest","Students of JNV, Jhansi, try to assault pupils from Rajouri after their schoolmates ‘attacked’ at host school"
India leading world in solving global problems across all sectors: Shah,"Shah said the biggest achievement in these 75 years has been that India as a country has succeeded in deepening the roots of democracy, adding the country has shown the world that governance in terms of policy is a continuous process."
MHA allows Aadhaar authentication of jail visitors,The ministry issued a notification in this regard ostensibly to verify the antecedents of the visitors of prison inmates.
Law panel favours enabling of e-FIRs to tackle delay,"The commission headed by former Karnataka High Court Chief Justice Ritu Raj Awasthi, in its 292nd report, recommended that “in cases where the accused is not known, registration of e-FIR should be allowed for all cognizable offences”."
Civil society groups pledge support to INDIA bloc in elections,"The Convention also pointwed to the economic recession and increase in unemployment and inflation, alleging that the BJP has in the meantime favoured its corporate “cronies’’ as like Adani."
Jharkhand court acquits Cong MLA of case over anti-Adani protest,"Yadav, then an MLA with Jharkhand Vikas Morcha (Prajatantrik), had led an agitation against land acquisition from 12 villages for setting up Adani Power Plant in Godda area."
HC removes ED officer probing school jobs scam case against TMC’s Abhishek Banerjee,"The Calcutta HC, which says its conscience was shocked by ‘the way in which this investigation is proceeding’, orders Mithilesh Kumar Mishra to be kept out of any ED probe related to West Bengal."
"US shared assessment, I put our concerns: Jaishankar on Canada",State Department says India told to cooperate fully with Canada probe
"In Karnataka, hearing and speech impaired couple pay the price of marrying outside caste, district officials intervene","On Tuesday, Savithramma, who is on maternity leave, returned to the village with her husband – and soon found they were not welcome there."
Why everyone’s counting on the Census — and why a delay hurtsPremium Story,"The implementation of the women's quota is tied to the delimitation exercise, which in turn will be based on the first census after 2026. With the 2021 Census delayed due to the pandemic and no word on when the exercise will be held next, Udit Misra on what this delay does to a data-deficit country"
"Women’s reservation Bill gets President’s assent, becomes law",The law will take some time before being implemented as the next census and the subsequent delimitation exercise - redrawing of Lok Sabha and assembly constituencies - will ascertain the particular seats being earmarked for women.
"Punish Bidhuri for unparliamentary language, Danish Ali writes to PM, seeks security for self",The BSP MP has requested the PM to make a public statement from his office condemning such behaviour and suitably punish the BJP MP 'so that no one can repeat such an act ever in the House'
Law Commission advises against reducing age of consent to 16 under POCSO Act,"The panel further advised the Law Ministry to introduce guided judicial discretion in the matter of sentencing in cases involving tacit approval of children in the 16-18 age bracket, news agency PTI reported."
Law panel recommends rolling out registration of e-FIRs in a phased manner,"In a report submitted to the government earlier this week and made public on Friday, the law panel proposed setting up a centralised national portal to facilitate registration of e-FIRs."
ISKCON says it sent Rs 100-crore defamation notice to Maneka Gandhi,"Radharamn Das, Vice-President ISKCON Kolkata, tweeted that the organisation “will not leave any stone unturned in our pursuit of justice against the fallacious propaganda against ISKCON,”."
"Farmers’ stir in Punjab: Passengers stranded at Jammu, Katra stations as 7 trains cancelled, 13 diverted","As part of the protest, farmers squatted on train tracks in many places, including Moga, Hoshiarpur, Gurdaspur, Jalandhar, Tarn Taran, Sangrur, Patiala, Ferozepur, Bathinda and Amritsar"
"In Jhansi as part of integration scheme, 18 students from J&K Navodaya Vidyalaya sent back after protest","Under the same scheme, 20 students of NV Jhansi were sent to Kashmir in August and were staying at the NV hostel in Rajouri, Kashmir."
"AAP committed to INDIA alliance, will not break away from it: Kejriwal","Kejriwal said, ""We have to prepare a system so that the 140 crore people of India feel they are prime minister. We have to empower people and not one person."""
"Congress chief Kharge terms Women’s Reservation Bill ‘jumla’, seeks OBC quota within it",Mallikarjun Kharge said it was former prime minister Rajiv Gandhi who first introduced a Bill for women's reservation and it was because of him that women were given reservation in municipal and panchayat elections.
"Situation in Imphal valley calm but tense, curfew relaxed",Authorities relaxed curfew in Imphal East and Imphal West districts from 5am to 11pm to help people buy essential items and medicines.
"Relief to Kerala as 4 Nipah infected patients, including 9-yr-old, recovered","For first time, a Nipah infected person  (a nine-year-old boy) returned to life from ventilator support, says ASTER MIMS Hospital"
Liver Doc says will challenge court order blocking his social media account,Dr Cyriac Aby Philips told The Indian Express he has been highlighting everything from a scientific point of view and based on his conversations with patients.
"From Rajasthan to Haryana, a pest is wreaking havoc on cotton fieldsPremium Story","Damage due to the Pink Bollworm is more widespread and serious than ever before; as farmers stare at losses, some say they will give up cotton farming"
EAM Jaishankar meets US Secretary of State Blinken amid diplomatic row between India & Canada,There was no specific mention of the Canadian PM Justin Trudeau’s allegations of a potential link between the Indian government and the killing of pro-Khalistan separatist leader Hardeep Singh Nijjar.
"Jaunti, where seed of Green Revolution was sown, remembers agriculture icon","In 1965, the Jawahar Jounti Seed Cooperative Society was set up and the farmers who were a part of it sold wheat seeds."
"Torn shoulder, ‘foreign particles’ in skull: Security forces face heat over ‘excessive force’ against Manipur protesters","In response, Manipur DGP Rajiv Singh Thursday constituted a two-member committee headed by IGP (Adm) K Jayanta Singh to look into such complaints and allegations and submit a report."
"Ahead of Global Investors Summit, Uttarakhand inks Rs 3,000-cr worth deal with Agar Technology, Fira Barcelona",Uttarakhand CM Pushkar Singh Dhami is in London to attract investment in view of the Global Investors Summit scheduled in his state in December.
"In digital Bill, Govt may ban some new tech citing user harm, securityPremium Story","While the government is still considering the emerging technologies that it wants to regulate, solutions like blockchain and metaverse are understood to be on its radar."
"Protect worship places, properties of displaced: SC panel to Manipur",Direction in wake of vandalism; police say 386 religious places were targeted
Afghanistan embassy in New Delhi may shut down its operations,Sources in the Indian government said that the Afghan Embassy in New Delhi has “purportedly issued a communication on this issue”. A source said that the authenticity of the communication and its contents are “being examined”.
"Tobacco warnings on OTT: Amid pushback from platforms, Govt looking for a solution",May relax rules for existing content and licensed foreign programmes
Indians now make up over 10% per cent of US visa applicants,1 million visas issued this yr: Embassy
Kerala’s Mankombu – a farming village inextricably linked to M S Swaminathan by name and familial ties,"Swaminathan, who died in Chennai on Thursday at the age of 98, carried Mankombu village in his name. His father M K Sambasivan Iyer was born in this village, where a few members of their family, known as the Kottaram family, continue to live."
"CRPF Constable killed, Inspector injured in Jharkhand IED blast",Jharkhand Police identified the deceased as Constable Rajesh Kumar and the injured as Inspector Bhupendra Kumar – both from CRPF’s 209 Battalion.
Mob of ‘500-600’ tries to storm Manipur CM N Biren Singh’s personal residence,"On Wednesday, protesting students tried to march towards the CM Bungalow and Raj Bhavan. Security personnel had resorted to heavy tear gas shelling to disperse them."
"Ujjain rape case: Auto driver, who grabbed minor when she was out alone, arrested","The accused has been identified as Bharat Soni, an autorickshaw driver. When Soni, was taken to the crime spot, he tried to flee from the police but sustained injuries and has been referred to a hospital, where he is recuperating."
20-year-old student dies by suicide in Kota,The student had passed Class 12 and was preparing for competitive examinations and was not enrolled in any coaching institute.
From rice to mangrove — MS Swaminathan left a mark on Odisha,"Over the past two decades, his organisation, the M S Swaminathan Research Foundation (MSSRF), has actively worked in Koraput district’s Jeypore region."
TMC cries foul as ED summons Abhishek Banerjee on day when it plans to hold Delhi dharna,"The TMC MP was quizzed in the school recruitment case on Sept 13, when he was supposed to attend an INDIA meeting."
Formation of low-pressure area likely to cause rain in Bengal during weekend,"There is a possibility of rain with thunderstorms in Darjeeling, Jalpaiguri, Alipurduar, Cooch Behar and Malda in the next 24 hours."
‘A national icon’: Tributes pour in as ‘Father of Green Revolution’ MS Swaminathan passes away,"M S Swaminathan, the legendary agricultural scientist who is widely known as the ""Father of the Green Revolution in India"", dies at 98."
Rewarding spread of hatred: Danish Ali on BJP giving poll duty to Bidhuri in Tonk,"Bidhuri's remarks targeting Ali during a discussion on the success of the Chandrayaan-3 lunar mission last Thursday had sparked a furore, with opposition leaders calling for stringent action against the BJP MP."
"MS Swaminathan, driver of India’s transformatory Green Revolution, passes away","M S Swaminathan, the father of India's Green Revolution and a renowned Indian agricultural scientist, passed away today, September 28, 2023 at his residence in Chennai, at the age of 98.  Swaminathan was awarded the first World Food Prize in 1987 following which he set up the MS Swaminathan Research Foundation (MSSRF) in Taramani, Chennai."
Congress leader booked for remarks against Smriti Irani,Singh held a two-day dharna against the suspension of licence of Sanjay Gandhi Hospital here which ended on Wednesday evening with a candle march.
Ujjain rape case: Opposition leaders say ‘women not safe in BJP’s misrule’,"""What is the use of making election announcements in the name of beloved sister if girls cannot even get protection and help?"" Priyanka Gandhi said"
"The untold story of a rescue operation: a transport aircraft, an unlit runway and 1.5 hoursPremium Story","In April, at the height of the Sudan conflict, the Indian Air Force pulled off a daring operation, evacuating 121 Indians from a World War II-era military base in the desert near Nile. Here's how they did it"
"‘Continue to urge India to cooperate in Canada probe’: Ahead of Jaishankar-Blinken meet, US says stand ‘made clear’",External Affairs Minister S Jaishankar and US Secretary of State Antony Blinken are scheduled to meet at the Foggy Bottom headquarters of the State Department on Thursday afternoon which is about midnight in Indian local time.
‘2018: Everyone is a Hero’ picked as India’s Oscar entry,FFI chief: The film carries a crucial message on  global warming
"China ambassador still not in, so MEA Jt Secy sent to embassy event",India-China relations plunged after PLA incursions in eastern Ladakh were detected in May 2020. Military and diplomatic talks have led to partial disengagement but the standoff continues along the LAC.
Upcoming digital Bill may widen the ambit of online censorshipPremium Story,"Under the upcoming Digital India Bill, the imminent successor to the Information Technology Act, 2000, the Centre is considering some tweaks to what is the erstwhile Section 69 (A) of the IT Act."
"What Modi has, Vajpayee didn’t — a hawk’s eye for implementation of policies: N K Singh",Self-reliance can become excuse for protectionism: Larry Summers
Told Canada it’s not Govt of India policy: Jaishankar on killing of separatist Nijjar,"‘Canada has seen a lot of organised crime relating to secessionist forces, extremism... all very deeply mixed up’"
"Orders to vacate National Museum  by year-end, new one set for 2025","2 lakh artefacts to be stored until new museum ready in North, South Blocks"
"In fresh crackdown, NIA raids 53 locations in 5 states, 2 UTs","Among others, an NIA team searched the premises linked to Goyal Money Exchanger in Ludhiana's Jagraon."
Elgar Parishad case: SC extends stay on bail granted to Raut,"“Leave granted. List on October 5. The stay already granted by Bombay High Court on the operation of the judgment and order shall continue until the next date of hearing,” the bench said in its order."
SC refuses to restrain trial court from dealing with CID plea for Naidu custody,"Naidu’s appeal was on Wednesday listed before a bench of Justices Sanjiv Khanna and S V N Bhatti but Justice Bhatti recused from hearing it.Following this, his lawyers brought this to the notice of the CJI bench."
Prepare for G20 Virtual Summit: PM’s Principal Secy at review meeting,"As the New Delhi Summit drew to a close, Prime Minister Narendra Modi proposed a virtual session in November before the end of India’s presidency – Brazil will take over the G20 presidency from December 1."
ASI averts snatching incident in Model Town,"The policeman, ASI Ajay Jha, heard a woman scream and rushed to stop the accused who were trying to flee on a two-wheeler."
"Swavlamban-2023 on Oct 4-5: Underwater drones, carbon suits: Navy event to showcase new indigenous tech","Showcasing the 75 new technologies — from ultra endurance swarm drones to firefighting systems and blue-green lasers for underwater applications — will underline the Navy’s progress since it announced, at the seminar’s maiden edition last year, to develop the new technologies as part of Azadi ka Amrit Mahotsav."
"Sustainable development at heart of Smart  Cities, has lessons for Global South: report","Cites water, sewage projects in Ahmedabad, Indore as examples; over 70% projects contribute to SDGs"
Govt may propose up to Rs 500 crore fine for violations under Digital India Bill,The Ministry of Electronics and IT (Meity) has been working on the draft of the Digital India Bill to replace the existing IT Act which was enacted more than 22 years ago in the early days of internet.
"In Manipur, no let-up in protests over killing of Meitei students, 50 injured","The protests came against the backdrop of the arrival of CBI Special Director Ajay Bhatnagar, along with five officials, in Manipur to probe into the students' killing."
"Tripura becomes fourth state to introduce e-cabinet system, CM Saha says it will infuse dynamism",The chief minister also says the application has the highest degree of privacy protection safeguards
‘There was no humanity’: Man who helped MP rape victim who went door to door seeking help,"Police said they found the injured girl on Monday morning near the ashram and took her to a local hospital, where she is undergoing treatment and is said to be out of danger."
"NIA crackdown on terror-gangster-smuggler nexus; several detained after raids in 5 states, 2 UTs","The official said pistols, ammunition, a large number of digital devices and incriminating material were seized during the raids aimed at dismantling the terror-gangster-smuggler nexus."
"UPA Govt intimidated foreign investors, asked them to skip Gujarat: PM Modi at Vibrant Gujarat Summit","The Prime Minister was speaking at an event to mark 20 Years of the Vibrant Gujarat Global Summit; says it is Modi’s guarantee that within a few years, India will be among the top 3 largest economies of the world."
"In London, Uttarakhand govt signs agreements for skiing resorts, cable car projects","According to a statement issued by the state information department, two separate MoUs worth Rs 3,800 crore were signed with Kayan Jet and investment MoUs worth Rs 1,000 crore were signed with Usha Breco."
"‘Burns, cuts, broken teeth’: Army Major, wife arrested in Assam for ‘inhuman torture’ of minor domestic help","The couple, Major S K Yadav and Kimi Ralsun, were arrested in Haflong on September 25 after police received information about the treatment allegedly meted out to the girl – now 17 years old – on September 24."
Ex-general manager in defence PSU faces CBI FIR for ‘disproportionate assets’,"According to the FIR, while working at GSL, Goa between January 1, 2018 and April 30, 2023, ""Manoranjan Khuntia enriched himself illicitly and amassed assets in his name and in the name of his family members, disproportionate to his known sources of income”."
"In Jharkhand’s Simdega, tales of many domestic helps beaten and bruised in Delhi-NCR","Since January, three major instances of underage helpers from villages in Jharkhand’s Simdega district being ill-treated by their NCR employers have come forward"
ISRO excels as no individual penalised for failures: Somanath,"Somanath said in the space sector, there is a clear understanding that one person cannot understand everything which leads to collective decision-making."
AFSPA extended in violence-hit Manipur’s hill areas for 6 months from Oct 1; 19 valley police stations excluded,"The “disturbed areas” notification issued on Wednesday will come into effect from October 1 in the violence-hit state. It is applicable for six months, following which it can be periodically extended by the Union Ministry of Home Affairs (MHA) after assessing the situation in Manipur."
"Cong alleges SEBI ‘reluctant’ to probe allegations against Adani group, renews demand for JPC","The Congress has been demanding a JPC probe into the allegations of ""stock price manipulation"" and financial irregularities against the Adani group."
SC Judge SVN Bhatti recuses from hearing plea of former Andhra Pradesh CM N Chandrababu Naidu,Naidu had moved the top court on September 23 challenging the Andhra Pradesh High Court order dismissing his petition for quashing the FIR against him in connection with an alleged scam in the Skill Development Corporation.
"Ahead of Assembly elections, Chhattisgarh cabinet clears proposal to procure more paddy",The tug of war between the ruling Congress and the BJP continues over rice procurement.
NIA raids two locations in Uttarakhand as part of crackdown on gangsters-terrorist nexus,"The NIA raided the houses of Parikshit Negi and Asim in Dehradun and Udham Singh Nagar, respectively."
"Fresh clash along Assam-Meghalaya interstate border, none injured",The situation remained calm but tense on Wednesday morning as police forces from both states prevented villagers from congregating at the spot where the clash occurred.
"Soren writes to PM Modi, seeks recognition of Sarna religious code for tribals","Earlier, the Jharkhand Assembly had unanimously passed a resolution for inclusion of ‘Sarna' as a separate religion in the census."
"8 labourers injured in explosion in J&K’s Anantnag, police rules out terror angle","Underlining the situation to be stable, the police said that they have begun an investigation into the matter."
"BJP chief JP Nadda appoints new state party presidents in Meghalaya, Puducherry, Nagaland","While party leaders Rikman Momin and Benjamin Yepthomi were appointed in Meghalaya and Nagaland respectively, BJP MP  S Selvaganabathy was named the new president of the party's Puducherry unit."
NIA raids underway in 6 states to crack down on gangsters-terrorist nexus,"The raids and searches are also a part of the NIA’s crackdown against organised criminal syndicates and networks, top gangsters, and their criminal and business associates based in Punjab, Haryana, Uttar Pradesh, Rajasthan, and Delhi."
"Jaishankar on India-China relations, Manipur violence: Top 5 points","""It has never been easy,"" Jaishankar said as he recalled the history of relationship between India and China."
Manipur Violence News Highlights: CBI team in Manipur amid disquiet over killing of two Meitei teens,"Manipur News Today Highlights: As photographs confirming the killing of two missing Meitei teens triggered unrest in Manipur again, Congress national president Mallikarjun Kharge today targeted Prime Minister Narendra Modi demanding sacking of the state's ""incompetent"" chief minister."
Supreme Court awards Rs 1.5 crore relief to IAF veteran who contracted HIV in military hospital,"The HIV was diagnosed in 2014 and subsequent enquiries revealed that it happened on account of the 2002 blood transfusion. Following this, he was denied service extension and discharged from service in May 2016."
"Punjab to cut farm fires by half this year, says Centre’s air quality body","As per a communication from the apex pollution monitoring body, the Haryana government is set to provide Pusa bio-decomposer kits to farmers for free to manage a paddy area of 5 lakh acres."
"IAS officer, transferred over stadium row, now compulsorily retired by Govt","She and her husband, Sanjeev Khirwar, also a 1994-batch IAS officer posted in Ladakh, were transferred out of Delhi last year following a report in The Indian Express that they emptied a stadium of athletes to walk their dog."
Punjab yet to address stubble burning issue; states must work in tandem to check pollution: Delhi LG,The issue of water supply to Delhi from the dams in Himachal Pradesh and Uttarakhand was also raised in the council meeting.
Owner of Adani Power’s Mauritius investor a ‘single person company’Premium Story,"In July 2020, Adel also became a director of Opal Investments (Mauritius) and is recorded with the address of Trustlink International, a corporate service provider."
"Law Commission to back simultaneous polls, suggest likely timelines for 2024 and 2029",Commission suggestion among those to be sought by former President Ram Nath Kovind-led committee
Act against ‘anti-India terrorists’: Adhir slams targeting of PM in Canada,The Congress and other Opposition parties have so far refrained from questioning the government’s handling of the slide in ties with Canada though they have called for “intensive diplomatic engagement” to resolve the “serious crisis” while ensuring security of Indians in Canada.
SC to hear petitions seeking review of ruling holding money laundering law valid,"Besides Justice Kaul, the three-judge bench will also comprise Justices Sanjeev Khanna and Bela M Trivedi. Justice Kaul said that the bench will hear the matter starting October 18."
Top court to ED: Don’t summon Kavitha till we hear her petition,"On the last date of hearing on September 15, the ED had assured the court that it will defer the summons by 10 days."
Canada Dy Army chief: Diplomatic row won’t affect defence ties,"Last week, India rejected Ottawa’s allegations and expelled a senior Canadian diplomat in a response to Ottawa’s expulsion of an Indian official over the issue."
"Coal block scam: HC suspends sentence of ex-MP Darda, his son","With respect to VIjay Darda's appeal against his conviction by the trial court, the HC listed it for consideration on February 14. On July 28, the HC had granted interim bail to the trio."
"Our govt brought transparency, ended leakages in system: PM Narendra Modi","Addressing the G20 University Connect finale, Modi said that his government has brought transparency by introducing reforms and “eliminating dalals (brokers)” from the system, which was  possible due to political stability, policy clarity and democratic values."
"MHA extends disturbed area status in parts of Arunachal, Nagaland by six months","The AFSPA gives armed forces personnel, operating in disturbed areas, sweeping powers to search, arrest, and to open fire if they deem it necessary for maintenance of public order."
"Territorial disputes, terror threats among land-related  challenges in Indo-Pacific region, says Gen Pande",The Army Chief's comment comes in the backdrop of China’s increasing efforts to build artificial islands in the South China sea while also fortifying them — a move seen as an attempt to expand its territorial claims and enhance its power projection across the Indo-Pacific.
"Goa minister: Portuguese committed atrocities, but did a good thing by preserving documents","Emphasising the importance of preserving and sharing Goa's rich history, he said, “People should know our heritage and history and the documentation will help to keep it alive and build our future."
Global Investors Summit: Uttarakhand govt signs Rs 2000-crore MoU in London for ropeway project investments,"After the MoU was signed, Uttarakhand Chief Minister Pushkar Singh Dhami stated that there is immense potential for investment in eco-friendly tourism in the state."
"‘Death knell’: Karnataka Oppn slams Cauvery panel recommendation to release 3,000 cusecs of water","Dy CM Shivakumar welcomed the CWRC suggestion, saying TN had demanded 12,000 cusecs"
Madhya Pradesh Assembly polls: BJP fields tribal woman Monika in Congress bastion of Amarwara,"The saffron party decided to give Monika, a law graduate, the ticket considering her father's influence in the region."
700 booked in Gwalior as protest over Raja Bhoj statue turns violent,The Gurjar community called the mahapanchayat Monday to discuss demands including uncovering a statue of Raja Mihir Bhoj in the city. The statue had been covered up on the orders of the High Court amid a dispute between the Gurjar and Rajput communities over his ancestry.
"SC allowing specially-abled advocate to argue case through interpreter a welcome step, says bar body",Senior advocate Vikas Singh welcomed the move by CJI Chandrachud to allow a hearing impaired lawyer to argue his case in sign language.
"S Jaishankar on terrorism, G20 summit, ‘today’s Bharat’: 10 points from UNGA address","The union minister also talked about India as a leading power, the G20 Summit in Delhi and its achievements, the emergence of a new democratic order, and concluded his speech by stating what defines today's 'India, that is Bharat.'"
"Internet snapped again, Manipur on edge as deaths of 2 Meitei youths are confirmed","The deaths led to fresh protests by Meiteis in the valley areas of strife-torn Manipur on Tuesday, and mobile internet services, which had been restored just days ago after nearly five months, were snapped once again in the evening. A Home Department order said the mobile internet services would remain shut for the next five days."
Waheeda Rehman’s journey in Indian cinema has left an indelible mark: PM Modi,"""Delighted that Waheeda Rehman Ji has been honored with the Dadasaheb Phalke Lifetime Achievement Award,"" he said on X."
Political convenience can’t determine response to terror: Jaishankar amid Canada row,"Jaishankar's remarks, in his address at the United Nations General Assembly (UNGA), are being seen as a veiled attack on Canada."
"Not easy to bring nations together amid polarised international atmosphere, says PM Modi at G20 event","PM Modi said that the ""unanimous consent"" to our New Delhi Declaration continues to be the international headline."
J&K: Police searches against four suspected of passing info to Pakistan militants,"Officials seized electronic gadgets including mobile phones and SIM cards, said sources."
"Soldier, friend arrested for faking ‘PFI’ assault: Kerala Police",Police had registered a case on Monday on the basis of 35-year-old Shinekumar’s complaint that he was attacked. The matter had been reported at the Kadakkal police limits in Kerala’s Kollam district on Sunday night.
"Sants, leaders of all caste, women in guest list for Ram Lalla idol ceremony","Pran pratistha likely from Jan 15-24, Trust awaits PMO confirmation"
"70 Collegium proposals pending: Supreme Court says will monitor, not be quiet",The Supreme Court bench was hearing a plea by the Bengaluru Advocates Association seeking contempt of court proceedings against the government for alleged delay in the appointment of judges.
"4 months on, how Meitei-Kuki conflict has kept Manipur on the boil",Here’s a rundown on the ethnic violence that has kept Manipur in the crisis zone for the last four months and more
"PM Modi at Rozgar Mela: Use of tech curbed corruption, boosted govt’s credibility","Prime Minister Narendra Modi distributed nearly 51,000 appointment letters to newly inducted government recruits during a 'Rozgar Mela.'"
The AIADMK-BJP breakup in Tamil Nadu in a nutshell,"The end of the alliance was not completely unexpected. There has been trouble brewing within the alliance for some time now, with leadership constantly at odds over a range of issues —the latest being a purported remark by BJP state chief K Annamalai on former chief minister CN Annadurai."
"Supreme Court allows Lakhimpur Kheri case accused Ashish Mishra to stay in Delhi to tend to ailing mother, daughter","However, the restriction on Ashish Mishra's entry to Uttar Pradesh, except for attending the trial in the Lakhimpur Kheri case, will continue to be in place."
Chhattisgarh government launches own housing scheme for state’s homeless families,The Centre had withdrawn Chhattisgarh from the Pradhan Mantri Awas Yojana saying the state had not released its share since 2019.
INDIA leaders to PM Modi: Birthday wishes pour in for ex-PM Manmohan Singh,"Congress leader Rahul Gandhi sought inspiration in Singh for his ""integrity, unwavering commitment to nation-building and economic upliftment of the masses."""
2 Meitei students missing from Imphal presumed killed after photos surface,The two youngsters were both residents of Tera Tongbram Leikai in Imphal and had gone missing on July 6.
NGOs need to declare assets created using foreign funds: FCRA new guidelines,"Last year, the MHA amended foreign funding rules giving certain relaxations such as allowing relatives to send more money under the FCRA."
Punjabi singer facing look out circular flies to Dubai after NIA clearance,"Though a look out circular was opened against him, Aulakh was allowed by the agency to travel for an event, The Indian Express has learnt."
India-Canada diplomatic row: NIA gets MHA nod for seven additional posts,"The NIA is working in coordination with other central probe agencies and state police to undertake a whole ecosystem approach to dismantle terrorist networks that aim at harming India, an MHA official said."
Immunity to legislators on bribery: Supreme Court sets up 7-judge bench to review 1998 verdict,The question arose in the context of bribery charges against Jharkhand Mukti Morcha MLA Sita Soren in connection with the 2012 Rajya Sabha elections to two seats from the state.
"Ensure Aadhaar cards are reissued to displaced persons after verification: SC to UIDAI, Manipur govt","The committee headed by former Chief Justice of the Jammu and Kashmir High Court, Justice Gita Mittal, had recommended reissue of identity documents to the displaced who had lost them."
Agamic Tamil Nadu temples: SC orders status quo for appointment of priests,The petitioner association pointed out that “prominent Shaivite and Vaishnavite temples in Tamil Nadu were built according to Agamas and worship therein is as per Agamas”.
"India-Canada standoff | At G20 meet, Joe Biden raised Nijjar’s killing with PM Modi: FT report","According to the Financial Times, several members of the Five Eyes — an intelligence-sharing network that includes the US, UK, Canada, Australia and New Zealand — raised the killing of Hardeep Singh Nijjar with Modi."
"NK Singh, Lawrence Summers at Express Adda today","NK Singh and Summers will be the guest at the Express Adda in Mumbai on Tuesday and will be in conversation with Anant Goenka, Executive Director, The Indian Express group."
"Rozgar Mela at 41 locations, PM to hand out 51,000 job letters today","The Prime Minister’s Office said in a statement that the events will be held at 46 locations, with recruitments taking place “across Central Government departments and those in states/ UTs supporting this initiative”."
Amit Khare’s tenure as Adviser to PM extended,"Khare was appointed as Adviser to Prime Minister Narendra Modi on a contract basis for two years on October 12, 2021."
Tamil Nadu BJP’s Annamalai says national leadership will comment on AIADMK leaving NDA,"In a swipe at the BJP, the AIADMK’s IT wing began to trend the hashtag Nandri Meendum Varatheergal (Thank you, please don't come again) on X."
"Gang of 6 booked for beating up soldier in Kerala, ‘PFI’ written on his back","A case was registered under relevant IPC sections. The FIR has mentioned the accused as six identifiable persons, police said."
IAF inducts first C-295 transport aircraft at Hindan Air Force Station,"The first IAF squadron to be equipped with the aircraft, No. 11 Squadron, also named The Rhinos, is based in Vadodara."
"Uptick in NREGS demand continues, August sees a spike of 25.8% from last year","The demand for work under the NREGS has remained elevated during the first five months of the current financial year as the number of households availing the scheme reached 2 crore in April, 2.56 crore in May, 3.05 crore in June, and 2.09 crore in July."
